,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
2,ニシノオリーブ,19/9/25,船橋☆,12,トルマリンスプリント Ｂ２,1000,晴/稍重,7,12,12/14,1:02.1,1.9,38.3,5-8,463,櫻井光,53.0,佐藤博,0
3,ニシノオリーブ,19/8/13,大井☆,11,サマービーチ賞 Ｂ２(五),1400,晴/良,3,7,4/11,1:27.7,0.6,39.3,1-2-1,474,和田譲,54.0,市村誠,"510,000"
4,ニシノオリーブ,19/7/30,大井☆,10,アーバンステージ文月賞 Ｂ２Ｂ３,1200,晴/稍重,10,13,13/16,1:15.0,1.9,39.9,3-4,473,和田譲,55.0,市村誠,0
5,ニシノオリーブ,19/7/9,大井☆,9,オフト新潟賞 Ｂ２(五)Ｂ３(一),1000,曇/重,10,8,8/11,1:01.7,1.5,38.6,4-4,470,和田譲,55.0,市村誠,0
6,ニシノオリーブ,19/6/27,大井☆,9, Ｂ２(二)(三),1200,雨/稍重,7,4,10/16,1:14.7,1.3,39.5,1-1,468,山崎誠,54.0,市村誠,0
7,ニシノオリーブ,19/3/24,中山,12,４歳上,1200,晴/良,14,15,13/16,1:13.3,1.8,38.2,9-13,460,菅原明,52.0,武藤善,0
8,ニシノオリーブ,19/2/3,東京,8,４歳上,1300,晴/稍重,15,14,15/16,1:19.8,2.6,37.5,2-4,462,勝浦正,55.0,武藤善,0
9,ニシノオリーブ,19/1/5,中山,8,４歳上,1200,晴/良,13,12,10/16,1:11.9,1.3,37.5,6-6,456,武藤雅,53.0,武藤善,0
10,ニシノオリーブ,18/12/1,中山,7,３歳上,1200,晴/良,7,14,14/16,1:12.3,2.2,38.3,7-11,458,勝浦正,54.0,武藤善,0
11,ニシノオリーブ,18/9/1,札幌,6,３歳上,1000,晴/稍重,4,4,1/12,59.1,0.2,36.1,1-1,448,勝浦正,53.0,武藤善,"7,500,000"
12,ニシノオリーブ,18/8/12,札幌,6,３歳上,1000,晴/重,8,4,3/11,58.2,0.4,34.8,1-1,444,勝浦正,52.0,武藤善,"1,900,000"
13,ニシノオリーブ,18/7/21,函館,8,３歳上,1000,晴/良,3,3,3/12,59.4,0.8,35.3,3-4,448,勝浦正,52.0,武藤善,"1,900,000"
14,ニシノオリーブ,18/6/17,函館,8,３歳上,1200/芝,曇/良,10,6,9/16,1:09.0,0.4,35.4,3-2,452,勝浦正,52.0,武藤善,0
15,ニシノオリーブ,18/3/31,中山,6,３歳,1200,晴/良,14,5,6/16,1:13.1,1.1,38.5,2-2,448,武藤雅,52.0,武藤善,0
16,ニシノオリーブ,18/3/10,中山,6,３歳,1200,曇/不良,1,7,2/13,1:11.7,0.0,37.9,1-1,448,武藤雅,52.0,武藤善,"2,900,000"
17,ニシノオリーブ,18/3/3,中山,7,３歳,1200,晴/稍重,7,9,7/16,1:13.0,0.8,38.6,4-5,450,野中悠,51.0,武藤善,0
18,ニシノオリーブ,18/2/3,東京,7,３歳,1400,曇/不良,2,11,9/16,1:26.3,2.4,39.0,1-1,452,野中悠,51.0,武藤善,0
19,ニシノオリーブ,18/1/20,中山,7,３歳,1200,曇/稍重,6,6,6/14,1:13.1,1.4,37.4,13-13,450,田邊裕,54.0,武藤善,0
